Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
-0.133242	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.119908	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.106575	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.093242	0.000977	0.000916	0.000916	0.000916	0.001221	0.000916	
-0.079909	0.001099	0.001221	0.000916	0.000916	0.001221	0.001221	
-0.066576	0.001160	0.000916	0.001221	0.001221	0.001221	0.001221	
-0.053243	0.001160	0.001221	0.000916	0.001221	0.001221	0.001221	
-0.039910	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
-0.026577	0.001099	0.001221	0.001221	0.000916	0.000916	0.001221	
-0.013244	0.001160	0.000916	0.001221	0.001221	0.001221	0.001221	
0.000090	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.013423	0.001160	0.001221	0.001221	0.000916	0.001221	0.001221	
0.026756	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.040089	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.053422	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.066755	0.001160	0.001221	0.000916	0.001221	0.001221	0.001221	
0.080088	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.093421	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.106755	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.120088	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.133421	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.146754	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.160087	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.173420	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.186753	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.200086	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.213419	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.226753	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.240086	0.001404	0.001526	0.001221	0.001526	0.001526	0.001221	
0.253419	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.266752	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.280085	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.293418	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.306751	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.320084	0.001587	0.001831	0.001526	0.001526	0.001526	0.001526	
0.333418	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.346751	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.360084	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.373417	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.386750	0.001953	0.001831	0.001831	0.001831	0.002136	0.002136	
0.400083	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.413416	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.426749	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.440082	0.002197	0.002136	0.002136	0.002136	0.002441	0.002136	
0.453416	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.466749	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.480082	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.493415	0.002503	0.002441	0.002747	0.002441	0.002441	0.002441	
0.506748	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.520081	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.533414	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.546747	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.560081	0.003052	0.003052	0.003052	0.003052	0.003052	0.003052	
0.573414	0.003052	0.003052	0.003052	0.003052	0.003052	0.003052	
0.586747	0.003113	0.003052	0.003357	0.003052	0.003052	0.003052	
0.600080	0.003296	0.003357	0.003357	0.003357	0.003357	0.003052	
0.613413	0.003357	0.003357	0.003357	0.003357	0.003357	0.003357	
0.626746	0.003357	0.003357	0.003357	0.003357	0.003357	0.003357	
0.640079	0.003540	0.003662	0.003662	0.003662	0.003357	0.003357	
0.653412	0.003662	0.003662	0.003662	0.003662	0.003662	0.003662	
0.666745	0.003662	0.003662	0.003662	0.003662	0.003662	0.003662	
0.680079	0.003906	0.003967	0.003967	0.003967	0.003967	0.003662	
0.693412	0.003967	0.003967	0.003967	0.003967	0.003967	0.003967	
0.706745	0.004151	0.004273	0.004273	0.004273	0.003967	0.003967	
0.720078	0.004273	0.004273	0.004273	0.004273	0.004273	0.004273	
0.733411	0.004517	0.004578	0.004578	0.004578	0.004578	0.004273	
0.746744	0.004578	0.004578	0.004578	0.004578	0.004578	0.004578	
0.760077	0.004700	0.004883	0.004883	0.004578	0.004578	0.004578	
0.773410	0.004883	0.004883	0.004883	0.004883	0.004883	0.004883	
0.786744	0.005005	0.005188	0.005188	0.004883	0.004883	0.004883	
0.800077	0.005249	0.005188	0.005493	0.005188	0.005188	0.005188	
0.813410	0.005371	0.005493	0.005493	0.005493	0.005188	0.005188	
0.826743	0.005493	0.005493	0.005493	0.005493	0.005493	0.005493	
0.840076	0.005737	0.005799	0.005799	0.005799	0.005493	0.005799	
0.853409	0.005921	0.006104	0.006104	0.005799	0.005799	0.005799	
0.866742	0.006043	0.006104	0.006104	0.006104	0.005799	0.006104	
0.880075	0.006165	0.006104	0.006409	0.006104	0.006104	0.006104	
0.893408	0.006409	0.006409	0.006409	0.006409	0.006409	0.006409	
0.906742	0.006531	0.006714	0.006409	0.006409	0.006714	0.006409	
0.920075	0.006836	0.007019	0.007019	0.006714	0.006714	0.006714	
0.933408	0.007080	0.007324	0.007324	0.007019	0.006714	0.007019	
0.946741	0.007141	0.007324	0.007324	0.007019	0.007019	0.007019	
0.960074	0.007324	0.007630	0.007324	0.007324	0.007324	0.007019	
0.973407	0.007569	0.007630	0.007630	0.007630	0.007630	0.007324	
0.986740	0.007752	0.007935	0.007935	0.007630	0.007630	0.007630	
1.000070	0.008057	0.008240	0.008240	0.007935	0.007935	0.007935	
1.013410	0.008362	0.008545	0.008545	0.008240	0.008240	0.008240	
1.026740	0.008362	0.008240	0.008545	0.008240	0.008545	0.008240	
1.040070	0.008545	0.008545	0.008545	0.008545	0.008545	0.008545	
1.053410	0.008850	0.008850	0.008850	0.008850	0.008850	0.008850	
1.066740	0.009033	0.008850	0.009156	0.009156	0.009156	0.008850	
1.080070	0.009278	0.009461	0.009461	0.009156	0.009156	0.009156	
1.093410	0.009461	0.009766	0.009461	0.009461	0.009461	0.009156	
1.106740	0.009705	0.009766	0.009766	0.009766	0.009766	0.009461	
1.120070	0.009949	0.009766	0.010071	0.010071	0.010071	0.009766	
1.133400	0.010315	0.010376	0.010376	0.010376	0.010376	0.010071	
1.146740	0.010620	0.010681	0.010987	0.010376	0.010376	0.010681	
1.160070	0.010743	0.010987	0.010987	0.010681	0.010376	0.010681	
1.173400	0.010926	0.010987	0.010987	0.010987	0.010987	0.010681	
1.186740	0.011170	0.011292	0.010987	0.011292	0.011292	0.010987	
1.200070	0.011536	0.011597	0.011292	0.011597	0.011597	0.011597	
